SIGLA_USINA,n, owner, owner_info
V STA ANGELA 09,20950.641247, Enel, https://www.enelgreenpower.com/pt/nossos-projetos/highlights/parque-eolico-lagoa-dos-ventos
VENTOS DE SANTA LEIA,20917.265885, Casa dos Ventos-TotalEnergies, https://www.thewindpower.net/owner_es_3754_casa-dos-ventos.php
Aroeira 04,20857.852674, Enel, https://www.avsibrasil.org.br/projeto/complexo-eolico-aroeira/
V DE SANTA LEIA 01,20743.383906, Casa dos Ventos-TotalEnergies, https://www.thewindpower.net/owner_es_3754_casa-dos-ventos.php
EOL Assuruá 5 IV,20740.863742, Engie Brasil, https://www.engie.com.br/atividades/renovaveis/usinas-em-construcao/conjunto-eolico-serra-do-assurua/
EOL Assuruá 5 II,20646.212522, Engie Brasil, https://www.engie.com.br/atividades/renovaveis/usinas-em-construcao/conjunto-eolico-serra-do-assurua/
Baraúnas XV Energéti,20601.116619, Brennand Energia, https://www.gem.wiki/Bara%C3%BAnas_15_wind_farm
V DE SANTA LEIA 05,20526.842138, Casa dos Ventos-TotalEnergies, https://www.thewindpower.net/owner_es_3754_casa-dos-ventos.php
V DE SANTA LEIA 13,20413.735194, Casa dos Ventos-TotalEnergies, https://www.thewindpower.net/owner_es_3754_casa-dos-ventos.php
V DE SANTA LEIA 02,20289.741553, Casa dos Ventos-TotalEnergies, https://www.thewindpower.net/owner_es_3754_casa-dos-ventos.php
V STA ANGELA 10,20265.21404, Enel, https://www.enelgreenpower.com/pt/nossos-projetos/highlights/parque-eolico-lagoa-dos-ventos
V STA ESPERANCA 17,20231.835177, Enel, https://www.gem.wiki/Ventos_de_Santa_Esperan%C3%A7a_wind_farm
V STA ANGELA 11,20227.084199, Enel, https://www.enelgreenpower.com/pt/nossos-projetos/highlights/parque-eolico-lagoa-dos-ventos
VENTOS JANUARARIO 21,20173.790142, Casa dos Ventos-TotalEnergies, https://casadosventos.com.br/en/ativos/folha-larga-sul
Oitis 1,20102.500887, Iberdrola, https://www.iberdrola.com/quem-somos/nossa-atividade/energia-eolica-onshore/complexo-eolico-terrestre-oitis
